,index,Law_and_Gov
0,2018-03-31,
1,2018-04-30,-0.010635272675742158
2,2018-05-31,-0.04961273651938203
3,2018-06-30,0.03513390770457292
4,2018-07-31,-0.052837105514823235
5,2018-08-31,0.05648831605920401
6,2018-09-30,0.05957233725542599
7,2018-10-31,-0.026174299331124806
8,2018-11-30,-0.02349296041396287
9,2018-12-31,0.18990973860209093
10,2019-01-31,0.3677096371001738
11,2019-02-28,-0.32416562331194954
12,2019-03-31,-0.09327365580229363
13,2019-04-30,-0.015810333823841005
14,2019-05-31,0.052563795729775764
15,2019-06-30,-0.08730528565831364
16,2019-07-31,-0.02428120372181386
17,2019-08-31,0.0688626450868719
18,2019-09-30,0.10548354565338869
19,2019-10-31,-0.06777170104900754
20,2019-11-30,-0.011524545367541217
21,2019-12-31,-0.01619060985029752
22,2020-01-31,0.10010876285318404
23,2020-02-29,-0.05122751360899824
24,2020-03-31,0.2999330130343121
25,2020-04-30,-0.28906656030496825
26,2020-05-31,0.034319598975874
27,2020-06-30,-0.04013087003292659
28,2020-07-31,-0.065016634818159
29,2020-08-31,0.04838445136952618
30,2020-09-30,0.16656832526369247
31,2020-10-31,-0.11930430407713799
32,2020-11-30,-0.038142217881609874
33,2020-12-31,-0.055701531849705055
34,2021-01-31,0.19534392639118892
35,2021-02-28,-0.16987346076025955
36,2021-03-31,0.0005319809596626701
37,2021-04-30,-0.010789376613795643
38,2021-05-31,-0.00743917218234369
39,2021-06-30,-0.09905890750619883
40,2021-07-31,0.038813805428348225
41,2021-08-31,0.12038134150493685
42,2021-09-30,0.07352833115077395
43,2021-10-31,-0.08313976037078386
44,2021-11-30,-0.05236839219095102
45,2021-12-31,-0.08425476721998415
46,2022-01-31,0.21648988595297314
47,2022-02-28,0.1818509534235475
48,2022-03-31,-0.05528811086797969
49,2022-04-30,-0.006089262806372009
50,2022-05-31,-0.006175304138094084
51,2022-06-30,-0.003645278192283108
52,2022-07-31,-0.09293167019690907
53,2022-08-31,0.0723677078311371
54,2022-09-30,0.07142117793189073
55,2022-10-31,-0.04841923485653532
56,2022-11-30,-0.08287964449407903
57,2022-12-31,-0.027576434347323597
58,2023-01-31,0.10585013701846613
59,2023-02-28,0.013458156071015193
